"","CustomerID","recency","frequenci","monitery","Recency_group","Frequency_group","mon_value_group"
"1","12346",348,1,77183.6,"oldest","very rare","very large"
"2","12347",25,7,615.714285714286,"very recent","frequent","very large"
"3","12348",98,4,449.31,"old","frequent","very large"
"4","12349",41,1,1757.55,"recent","very rare","very large"
"5","12350",333,1,334.4,"oldest","very rare","large"
"6","12352",59,8,313.255,"recent","frequent","large"
"7","12353",227,1,89,"oldest","very rare","small"
"8","12354",255,1,1079.4,"oldest","very rare","very large"
"9","12355",237,1,459.4,"oldest","very rare","very large"
"10","12356",45,3,937.143333333333,"recent","rare","very large"
"11","12357",56,1,6207.67,"recent","very rare","very large"
"12","12358",24,2,584.03,"very recent","rare","very large"
"13","12359",80,4,1593.145,"old","frequent","very large"
"14","12360",75,3,887.353333333333,"old","rare","very large"
"15","12361",310,1,189.9,"oldest","very rare","medium"
"16","12362",26,10,522.623,"very recent","frequent","very large"
"17","12363",132,2,276,"old","rare","medium"
"18","12364",30,4,328.275,"very recent","frequent","large"
"19","12365",314,2,320.69,"oldest","rare","large"
"20","12367",27,1,168.9,"very recent","very rare","small"
"21","12370",74,4,886.4225,"old","frequent","very large"
"22","12371",67,2,943.98,"recent","rare","very large"
"23","12372",94,3,432.68,"old","rare","very large"
"24","12373",334,1,364.6,"oldest","very rare","large"
"25","12374",48,1,742.93,"recent","very rare","very large"
"26","12375",33,2,228.75,"very recent","rare","medium"
"27","12377",338,2,814.06,"oldest","rare","very large"
"28","12378",152,1,4008.62,"old","very rare","very large"
"29","12379",104,2,426.12,"old","rare","large"
"30","12380",44,4,681.2025,"recent","frequent","very large"
"31","12381",27,5,369.062,"very recent","frequent","large"
"32","12383",207,5,370.112,"oldest","frequent","large"
"33","12384",51,2,292.635,"recent","rare","medium"
"34","12386",360,2,200.95,"oldest","rare","medium"
"35","12388",38,6,463.443333333333,"very recent","frequent","very large"
"36","12390",102,1,549.84,"old","very rare","very large"
"37","12391",44,1,460.89,"recent","very rare","very large"
"38","12393",95,4,395.65,"old","frequent","large"
"39","12394",86,2,636.24,"old","rare","very large"
"40","12395",42,12,251.5525,"recent","very frequent","medium"
"41","12397",58,2,1204.95,"recent","rare","very large"
"42","12398",68,1,1635.66,"recent","very rare","very large"
"43","12399",142,4,277.1625,"old","frequent","medium"
"44","12401",326,1,84.3,"oldest","very rare","small"
"45","12402",346,1,225.6,"oldest","very rare","medium"
"46","12403",72,1,427.7,"recent","very rare","large"
"47","12405",171,1,1710.39,"oldest","very rare","very large"
"48","12406",45,2,1707.65,"recent","rare","very large"
"49","12407",72,5,341.624,"recent","frequent","large"
"50","12408",55,5,577.71,"recent","frequent","very large"
"51","12409",101,3,3690.89,"old","rare","very large"
"52","12410",331,2,346.665,"oldest","rare","large"
"53","12412",97,3,408.96,"old","rare","large"
"54","12413",89,3,252.7,"old","rare","medium"
"55","12414",240,3,187.47,"oldest","rare","medium"
"56","12415",47,21,5948.31095238095,"recent","very frequent","very large"
"57","12417",26,9,405.455555555556,"very recent","frequent","large"
"58","12418",135,1,668.58,"old","very rare","very large"
"59","12420",86,1,600.39,"old","very rare","very large"
"60","12421",38,4,201.76,"very recent","frequent","medium"
"61","12422",118,3,267.853333333333,"old","rare","medium"
"62","12423",23,8,232.41375,"very recent","frequent","medium"
"63","12424",185,2,880.48,"oldest","rare","very large"
"64","12425",101,1,777.2,"old","very rare","very large"
"65","12426",217,1,582.73,"oldest","very rare","very large"
"66","12427",44,3,275.266666666667,"recent","rare","medium"
"67","12428",48,9,884.051111111111,"recent","frequent","very large"
"68","12429",32,4,937.6,"very recent","frequent","very large"
"69","12430",66,1,256.4,"recent","very rare","medium"
"70","12431",58,15,432.496666666667,"recent","very frequent","very large"
"71","12432",65,5,1011.864,"recent","frequent","very large"
"72","12433",23,7,1910.83857142857,"very recent","frequent","very large"
"73","12434",107,2,403.07,"old","rare","large"
"74","12435",102,2,3914.945,"old","rare","very large"
"75","12436",122,1,509.01,"old","very rare","very large"
"76","12437",24,18,275.078333333333,"very recent","very frequent","medium"
