"","CustomerID","recency","frequenci","monitery","Recency_group","Frequency_group","mon_value_group","log_recency","log_frequency","log_monitery"
"1","12346",348,1,77183.6,"oldest","very rare","very large",5.85220247977447,0,11.2539422782121
"2","12347",25,7,615.714285714286,"very recent","frequent","very large",3.2188758248682,1.94591014905531,6.42278303404248
"3","12348",98,4,449.31,"old","frequent","very large",4.58496747867057,1.38629436111989,6.10771307267241
"4","12349",41,1,1757.55,"recent","very rare","very large",3.71357206670431,0,7.47167607278227
"5","12350",333,1,334.4,"oldest","very rare","large",5.80814248998044,0,5.81233788121055
"6","12352",59,8,313.255,"recent","frequent","large",4.07753744390572,2.07944154167984,5.74701755534073
"7","12353",227,1,89,"oldest","very rare","small",5.4249500174814,0,4.48863636973214
"8","12354",255,1,1079.4,"oldest","very rare","very large",5.54126354515843,0,6.98416061018454
"9","12355",237,1,459.4,"oldest","very rare","very large",5.46806014113513,0,6.129921290255
"10","12356",45,3,937.143333333333,"recent","rare","very large",3.80666248977032,1.09861228866811,6.84283624101277
"11","12357",56,1,6207.67,"recent","very rare","very large",4.02535169073515,0,8.73354090323367
"12","12358",24,2,584.03,"very recent","rare","very large",3.17805383034795,0.693147180559945,6.36995235137185
"13","12359",80,4,1593.145,"old","frequent","very large",4.38202663467388,1.38629436111989,7.3734653289943
"14","12360",75,3,887.353333333333,"old","rare","very large",4.31748811353631,1.09861228866811,6.78824324947696
"15","12361",310,1,189.9,"oldest","very rare","medium",5.73657229747919,0,5.24649761781824
"16","12362",26,10,522.623,"very recent","frequent","very large",3.25809653802148,2.30258509299405,6.25886036283372
"17","12363",132,2,276,"old","rare","medium",4.88280192258637,0.693147180559945,5.62040086571715
"18","12364",30,4,328.275,"very recent","frequent","large",3.40119738166216,1.38629436111989,5.79385167174507
"19","12365",314,2,320.69,"oldest","rare","large",5.74939298590825,0.693147180559945,5.77047492442311
"20","12367",27,1,168.9,"very recent","very rare","small",3.29583686600433,0,5.12930682381375
"21","12370",74,4,886.4225,"old","frequent","very large",4.30406509320417,1.38629436111989,6.78719369924487
"22","12371",67,2,943.98,"recent","rare","very large",4.20469261939097,0.693147180559945,6.85010497948039
"23","12372",94,3,432.68,"old","rare","very large",4.54329478227,1.09861228866811,6.06999842476209
